,win_rate,standard_error,mode,avg_length,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,length_controlled_winrate,lc_standard_error
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed42,23.850931677018632,1.5004207725406329,community,1768,191,612,2,805,23.850931677018632,21.76204732664849,0.3244536037914252
mapo_enesru_llama3_8b_npo_checkpoint-5,21.366459627329192,1.442905609874731,community,1650,171,632,2,805,21.366459627329192,21.70495927241118,0.2836718906996708
icr_enesru_llama3_8b_npo_checkpoint-1,21.180124223602483,1.436940672081814,community,1646,169,633,3,805,21.180124223602483,21.518582673361188,0.3293518470516296
icr_enesru_llama3_8b_npo_checkpoint-10,21.92546583850932,1.4551776495765256,community,1662,175,627,3,805,21.92546583850932,21.43445967706925,0.2730452427589413
lacomsa_enesru_llama3_8b_dpo_250426,21.180124223602483,1.436940672081814,community,1630,169,633,3,805,21.180124223602483,21.2755679156732,0.3757560640882097
lacomsa_enesru_llama3_8b_w-reinforce_10.0_1.0,22.111801242236027,1.460949901376626,community,1722,177,626,2,805,22.111801242236027,21.194656582228635,0.3037744264093812
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,23.354037267080745,1.4895078697072963,community,1782,187,616,2,805,23.354037267080745,21.037828053190346,0.2562218697167616
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,23.354037267080745,1.4895078697072963,community,1820,187,616,2,805,23.354037267080745,20.920123779916707,0.2615995826990195
mapo_enesru_llama3_8b_w-reinforce_10.0_1.0,19.06832298136646,1.381250869128563,community,1536,152,650,3,805,19.06832298136646,20.73146048145934,0.35703428408908383
mapo_enesru_llama3_8b_w-reinforce,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
mapo_enesru_llama3_8b_dpo,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
mapo_enesru_llama3_8b_w-reinforce_200426,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
mapo_enesru_llama3_8b_dpo_200426,20.0,1.4079504262688258,community,1593,160,643,2,805,20.0,20.66296910714797,0.3673555611628876
llama3_8b_ma_lacomsa_top10_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed45,22.981366459627328,1.4811343732761153,community,1835,184,619,2,805,22.981366459627328,20.53773988061065,0.3207251415238825
mapo_enesru_llama3_8b_npo_checkpoint-1,20.80745341614907,1.4275533351091618,community,1640,166,636,3,805,20.80745341614907,20.450928899609565,0.3029453597117855
lacomsa_enesru_llama3_8b_npo_checkpoint-1,20.80745341614907,1.4275533351091618,community,1640,166,636,3,805,20.80745341614907,20.450928899609565,0.3029453597117855
mapo_enesru_llama3_8b_npo_checkpoint-4,20.372670807453417,1.4150044409806857,community,1695,162,639,4,805,20.372670807453417,20.390203394207507,0.3058493272487396
icr_enesru_llama3_8b_ppo,20.18633540372671,1.4142310698763103,community,1726,162,642,1,805,20.18633540372671,20.279763813615084,0.4213929033054111
icr_enesru_llama3_8b_npo_checkpoint-5,19.751552795031056,1.398564065238634,community,1629,157,644,4,805,19.751552795031056,20.214504709894,0.3337589297976037
icr_enesru_llama3_8b_npo_checkpoint-2,20.31055900621118,1.4147500892515643,community,1695,162,640,3,805,20.31055900621118,20.20840546899701,0.3591210545771632
icr_enesru_llama3_8b_ppo_150426,19.875776397515526,1.4073948059218202,community,1907,160,645,0,805,19.875776397515526,20.153516852323,0.3982665840602224
lacomsa_enesru_llama3_8b_dpo,20.496894409937887,1.4209500274881883,community,1655,164,639,2,805,20.496894409937887,20.142365410915257,0.3780688505792213
lacomsa_enesru_llama3_8b_w-reinforce,20.372670807453417,1.4177316094410377,community,1657,163,640,2,805,20.372670807453417,20.110392804862272,0.3644150063318787
mapo_enesru_llama3_8b_npo_checkpoint-2,20.062111801242235,1.4082230431713711,community,1658,160,642,3,805,20.062111801242235,20.01890052012388,0.2860854822739956
lacomsa_enesru_llama3_8b_npo_checkpoint-5,19.937888198757765,1.4049276569357514,community,1644,159,643,3,805,19.937888198757765,19.949514352840943,0.262238710154678
llama3_8b_ma_lacomsa_top5_top30_high_lang_filtered_g0p0_a1p0_all_pairs_dynamic_easy_lc_seed44,23.354037267080745,1.4895078697072963,community,1857,187,616,2,805,23.354037267080745,19.913823625219205,0.2559897578854654
llama3_8b_ma_lacomsa_es3_ru5_de5_fr3_top30_high_lang_filtered_g0p0_a1p0_all_pairs_easy_lc_seed43,22.236024844720497,1.463889771465391,community,1774,178,625,2,805,22.236024844720497,19.725790668191,0.3043440369319079
lacomsa_enesru_llama3_8b_w-reinforce_0.01_1.0,15.590062111801242,1.2748228851442551,community,1391,124,678,3,805,15.590062111801242,19.704700689731165,0.2966798003491762
lacomsa_enesru_llama3_8b_ppo,20.0,1.4079504262688256,community,1907,160,643,2,805,20.0,19.36581624302171,0.3675468233167983
lacomsa_enesru_llama3_8b_npo_checkpoint-3,19.44099378881988,1.391530157989909,community,1678,155,647,3,805,19.44099378881988,19.32917948782484,0.3112489322049797
lacomsa_enesru_llama3_8b_npo_checkpoint-2,19.751552795031056,1.398564065238634,community,1666,157,644,4,805,19.751552795031056,19.246702368469425,0.3029924662854455
mapo_enesru_llama3_8b_npo_checkpoint-3,19.006211180124225,1.378117314044517,community,1650,151,650,4,805,19.006211180124225,19.01227602507945,0.313874323163736
icr_enesru_llama3_8b_dpo_250426,17.267080745341616,1.3300697700548156,community,1541,138,665,2,805,17.267080745341616,18.874161666775063,0.288972150775114
lacomsa_enesru_llama3_8b_npo_checkpoint-20,18.4472049689441,1.3636651098302897,community,1584,147,655,3,805,18.4472049689441,18.75220502924565,0.3204231807950851
icr_enesru_llama3_8b_w-reinforce_10.0_1.0,17.577639751552795,1.340938339065733,community,1577,141,663,1,805,17.577639751552795,18.54701554938352,0.4205728622998643
lacomsa_enesru_llama3_8b_sft,18.19875776397516,1.3593125467422102,community,1875,146,658,1,805,18.19875776397516,18.059443799417107,0.37947670071325
icr_enesru_llama3_8b_sft_150426,16.956521739130434,1.3219459096391208,community,1784,136,668,1,805,16.956521739130434,17.09559653829075,0.3270930154837151
icr_enesru_llama3_8b_sft,18.13664596273292,1.3589241929038651,community,1915,146,659,0,805,18.13664596273292,16.73088827674222,0.2755432443423202
mapo_enesru_llama3_8b_npo_checkpoint-20,27.45341614906832,1.573905509568754,community,3045,221,584,0,805,27.45341614906832,15.9570154651239,0.1809712546824753
mapo_enesru_llama3_8b_ppo,10.49689440993789,1.075616147937574,community,1285,83,719,3,805,10.49689440993789,14.170708933464892,0.3067669700985325
mapo_enesru_llama3_8b_sft,7.080745341614906,0.8960355048881721,community,987,55,746,4,805,7.080745341614906,12.241964794348668,0.2740649159738333
mapo_enesru_llama3_8b_npo_checkpoint-30,18.75776397515528,1.3767447944570357,community,4103,151,654,0,805,18.75776397515528,9.926669207115738,0.028152283565444
icr_enesru_llama3_8b_npo_checkpoint-20,12.422360248447204,1.1599181920127208,community,2780,99,704,2,805,12.422360248447204,7.844861294057352,0.1163650366253661
mapo_enesru_llama3_8b_npo,13.41614906832298,1.2019997076849351,community,4516,108,697,0,805,13.41614906832298,5.871601822411838,0.0211139720230618
lacomsa_enesru_llama3_8b_npo_checkpoint-30,1.1180124223602486,0.3708120885962266,community,3302,9,796,0,805,1.1180124223602486,0.672620161851365,0.0518079940182999
lacomsa_enesru_llama3_8b_npo,0.2484472049689441,0.1755694164825605,community,4796,2,803,0,805,0.2484472049689441,0.1276444537025591,0.0093391162415273
icr_enesru_llama3_8b_npo,0.0,0.0,community,9,0,805,0,805,0.0,0.0020051431011748,0.0001470993224201
icr_enesru_llama3_8b_npo_checkpoint-30,0.0,0.0,community,3790,0,805,0,805,0.0,0.0001983756558608,1.45642095797648e-05
